,state,year,quarter,registered_user
320,jammu-&-kashmir,2020,Q1,735408
321,jammu-&-kashmir,2020,Q2,845294
322,jammu-&-kashmir,2020,Q3,949819
323,jammu-&-kashmir,2020,Q4,1079022
324,jammu-&-kashmir,2021,Q1,1174818
325,jammu-&-kashmir,2021,Q2,1261267
326,jammu-&-kashmir,2021,Q3,1359860
327,jammu-&-kashmir,2021,Q4,1456810
328,jammu-&-kashmir,2022,Q1,1549320
329,jammu-&-kashmir,2022,Q2,1635570
330,jammu-&-kashmir,2022,Q3,1719185
331,jammu-&-kashmir,2022,Q4,1793434
332,jammu-&-kashmir,2023,Q1,1873039
333,jammu-&-kashmir,2023,Q2,1953132
334,jammu-&-kashmir,2023,Q3,2031447
335,jammu-&-kashmir,2023,Q4,2108166
336,jharkhand,2018,Q1,885762
337,jharkhand,2018,Q2,1230599
338,jharkhand,2018,Q3,1532362
339,jharkhand,2018,Q4,1913949
340,jharkhand,2019,Q1,2279329
341,jharkhand,2019,Q2,2604854
342,jharkhand,2019,Q3,2915511
343,jharkhand,2019,Q4,3281371
344,jharkhand,2020,Q1,3651393
345,jharkhand,2020,Q2,4061035
346,jharkhand,2020,Q3,4480027
347,jharkhand,2020,Q4,4917938
348,jharkhand,2021,Q1,5313049
349,jharkhand,2021,Q2,5701503
350,jharkhand,2021,Q3,6151843
351,jharkhand,2021,Q4,6596196
352,jharkhand,2022,Q1,7025275
353,jharkhand,2022,Q2,7426174
354,jharkhand,2022,Q3,7836429
355,jharkhand,2022,Q4,8217638
356,jharkhand,2023,Q1,8609107
357,jharkhand,2023,Q2,8980709
358,jharkhand,2023,Q3,9360730
359,jharkhand,2023,Q4,9707336
360,karnataka,2018,Q1,3717763
361,karnataka,2018,Q2,5030665
362,karnataka,2018,Q3,6372649
363,karnataka,2018,Q4,8315802
364,karnataka,2019,Q1,10266174
365,karnataka,2019,Q2,11968087
366,karnataka,2019,Q3,13635075
367,karnataka,2019,Q4,15385416
368,karnataka,2020,Q1,17016980
369,karnataka,2020,Q2,18655366
370,karnataka,2020,Q3,20487550
371,karnataka,2020,Q4,22400182
372,karnataka,2021,Q1,24095832
373,karnataka,2021,Q2,25751023
374,karnataka,2021,Q3,27614221
375,karnataka,2021,Q4,29459646
376,karnataka,2022,Q1,31200349
377,karnataka,2022,Q2,32831447
378,karnataka,2022,Q3,34493994
379,karnataka,2022,Q4,36081698
380,karnataka,2023,Q1,37681426
381,karnataka,2023,Q2,39122314
382,karnataka,2023,Q3,40634390
383,karnataka,2023,Q4,42031396
384,kerala,2018,Q1,784184
385,kerala,2018,Q2,1066587
386,kerala,2018,Q3,1347598
387,kerala,2018,Q4,1757326
388,kerala,2019,Q1,2136624
389,kerala,2019,Q2,2550167
390,kerala,2019,Q3,2990963
391,kerala,2019,Q4,3503938
392,kerala,2020,Q1,4078316
393,kerala,2020,Q2,4728844
394,kerala,2020,Q3,5582300
395,kerala,2020,Q4,6387169
396,kerala,2021,Q1,6936943
397,kerala,2021,Q2,7416083
398,kerala,2021,Q3,7949425
399,kerala,2021,Q4,8473810
400,kerala,2022,Q1,8972299
401,kerala,2022,Q2,9442533
402,kerala,2022,Q3,9933977
403,kerala,2022,Q4,10382102
404,kerala,2023,Q1,10822723
405,kerala,2023,Q2,11237341
406,kerala,2023,Q3,11669143
