,year,quarter,state,district,registered_user
284,2022,Q1,andhra-pradesh,anantapur district,1827094
285,2022,Q1,andhra-pradesh,kurnool district,1729513
286,2022,Q1,andhra-pradesh,guntur district,2387051
287,2022,Q1,andhra-pradesh,krishna district,2423373
288,2022,Q1,andhra-pradesh,spsr nellore district,1431664
289,2022,Q1,andhra-pradesh,vizianagaram district,892889
290,2022,Q1,andhra-pradesh,ysr district,1339782
291,2022,Q1,andhra-pradesh,west godavari district,1626039
292,2022,Q1,andhra-pradesh,chittoor district,2270705
293,2022,Q2,andhra-pradesh,east godavari district,2564165
294,2022,Q2,andhra-pradesh,srikakulam district,1086164
295,2022,Q2,andhra-pradesh,visakhapatnam district,3226029
296,2022,Q2,andhra-pradesh,prakasam district,1487589
297,2022,Q2,andhra-pradesh,anantapur district,1928213
298,2022,Q2,andhra-pradesh,kurnool district,1825280
299,2022,Q2,andhra-pradesh,guntur district,2514794
300,2022,Q2,andhra-pradesh,krishna district,2552107
301,2022,Q2,andhra-pradesh,spsr nellore district,1509927
302,2022,Q2,andhra-pradesh,vizianagaram district,943242
303,2022,Q2,andhra-pradesh,ysr district,1412848
304,2022,Q2,andhra-pradesh,west godavari district,1714357
305,2022,Q2,andhra-pradesh,chittoor district,2392549
306,2022,Q3,andhra-pradesh,east godavari district,2702234
307,2022,Q3,andhra-pradesh,srikakulam district,1147016
308,2022,Q3,andhra-pradesh,visakhapatnam district,3397514
309,2022,Q3,andhra-pradesh,prakasam district,1567520
310,2022,Q3,andhra-pradesh,anantapur district,2030824
311,2022,Q3,andhra-pradesh,kurnool district,1924127
312,2022,Q3,andhra-pradesh,guntur district,2647100
313,2022,Q3,andhra-pradesh,krishna district,2685215
314,2022,Q3,andhra-pradesh,spsr nellore district,1588875
315,2022,Q3,andhra-pradesh,vizianagaram district,995141
316,2022,Q3,andhra-pradesh,ysr district,1487140
317,2022,Q3,andhra-pradesh,west godavari district,1805967
318,2022,Q3,andhra-pradesh,chittoor district,2517657
319,2022,Q4,andhra-pradesh,east godavari district,2835087
320,2022,Q4,andhra-pradesh,srikakulam district,1204785
321,2022,Q4,andhra-pradesh,visakhapatnam district,3566854
322,2022,Q4,andhra-pradesh,prakasam district,1642503
323,2022,Q4,andhra-pradesh,anantapur district,2128066
324,2022,Q4,andhra-pradesh,kurnool district,2018290
325,2022,Q4,andhra-pradesh,guntur district,2774365
326,2022,Q4,andhra-pradesh,krishna district,2813645
327,2022,Q4,andhra-pradesh,spsr nellore district,1663684
328,2022,Q4,andhra-pradesh,vizianagaram district,1044490
329,2022,Q4,andhra-pradesh,ysr district,1556901
330,2022,Q4,andhra-pradesh,west godavari district,1893310
331,2022,Q4,andhra-pradesh,chittoor district,2636036
332,2023,Q1,andhra-pradesh,east godavari district,2965296
333,2023,Q1,andhra-pradesh,srikakulam district,1263204
334,2023,Q1,andhra-pradesh,visakhapatnam district,3732544
335,2023,Q1,andhra-pradesh,prakasam district,1719910
336,2023,Q1,andhra-pradesh,anantapur district,2228505
337,2023,Q1,andhra-pradesh,kurnool district,2114023
338,2023,Q1,andhra-pradesh,guntur district,2900895
339,2023,Q1,andhra-pradesh,krishna district,2941585
340,2023,Q1,andhra-pradesh,spsr nellore district,1740294
341,2023,Q1,andhra-pradesh,vizianagaram district,1094782
342,2023,Q1,andhra-pradesh,ysr district,1628595
343,2023,Q1,andhra-pradesh,west godavari district,1980446
344,2023,Q1,andhra-pradesh,chittoor district,2755784
345,2023,Q2,andhra-pradesh,east godavari district,3082893
346,2023,Q2,andhra-pradesh,srikakulam district,1317771
347,2023,Q2,andhra-pradesh,visakhapatnam district,3877504
348,2023,Q2,andhra-pradesh,prakasam district,1792637
349,2023,Q2,andhra-pradesh,anantapur district,2323796
350,2023,Q2,andhra-pradesh,kurnool district,2202517
351,2023,Q2,andhra-pradesh,guntur district,3014655
352,2023,Q2,andhra-pradesh,krishna district,3054956
353,2023,Q2,andhra-pradesh,spsr nellore district,1811781
354,2023,Q2,andhra-pradesh,vizianagaram district,1141578
355,2023,Q2,andhra-pradesh,ysr district,1694843
356,2023,Q2,andhra-pradesh,west godavari district,2059880
357,2023,Q2,andhra-pradesh,chittoor district,2865250
358,2023,Q3,andhra-pradesh,east godavari district,3211557
359,2023,Q3,andhra-pradesh,srikakulam district,1375950
360,2023,Q3,andhra-pradesh,visakhapatnam district,4035323
361,2023,Q3,andhra-pradesh,prakasam district,1868997
362,2023,Q3,andhra-pradesh,anantapur district,2421293
363,2023,Q3,andhra-pradesh,kurnool district,2295754
364,2023,Q3,andhra-pradesh,guntur district,3137289
365,2023,Q3,andhra-pradesh,krishna district,3177643
366,2023,Q3,andhra-pradesh,spsr nellore district,1887005
367,2023,Q3,andhra-pradesh,vizianagaram district,1190571
368,2023,Q3,andhra-pradesh,ysr district,1764648
369,2023,Q3,andhra-pradesh,west godavari district,2146530
370,2023,Q3,andhra-pradesh,chittoor district,2981337
371,2023,Q4,andhra-pradesh,east godavari district,3329036
372,2023,Q4,andhra-pradesh,srikakulam district,1430226
373,2023,Q4,andhra-pradesh,visakhapatnam district,4180797
374,2023,Q4,andhra-pradesh,prakasam district,1939979
375,2023,Q4,andhra-pradesh,anantapur district,2512744
376,2023,Q4,andhra-pradesh,kurnool district,2383042
377,2023,Q4,andhra-pradesh,guntur district,3251121
378,2023,Q4,andhra-pradesh,krishna district,3291814
379,2023,Q4,andhra-pradesh,spsr nellore district,1956706
380,2023,Q4,andhra-pradesh,vizianagaram district,1236735
381,2023,Q4,andhra-pradesh,ysr district,1829864
382,2023,Q4,andhra-pradesh,west godavari district,2227243
383,2023,Q4,andhra-pradesh,chittoor district,3089391
384,2018,Q1,arunachal-pradesh,lower subansiri district,498
385,2018,Q1,arunachal-pradesh,tirap district,557
386,2018,Q1,arunachal-pradesh,papum pare district,7649
387,2018,Q1,arunachal-pradesh,anjaw district,278
388,2018,Q1,arunachal-pradesh,lower siang district,270
389,2018,Q1,arunachal-pradesh,dibang valley district,66
390,2018,Q1,arunachal-pradesh,west kameng district,2202
391,2018,Q1,arunachal-pradesh,shi yomi district,49
392,2018,Q1,arunachal-pradesh,east kameng district,222
393,2018,Q1,arunachal-pradesh,lohit district,1207
394,2018,Q1,arunachal-pradesh,lepa rada district,210
395,2018,Q1,arunachal-pradesh,lower dibang valley district,601
396,2018,Q1,arunachal-pradesh,longding district,256
397,2018,Q1,arunachal-pradesh,west siang district,846
398,2018,Q1,arunachal-pradesh,kamle district,22
399,2018,Q1,arunachal-pradesh,upper siang district,301
400,2018,Q1,arunachal-pradesh,kurung kumey district,97
401,2018,Q1,arunachal-pradesh,siang district,192
402,2018,Q1,arunachal-pradesh,kra daadi district,88
403,2018,Q1,arunachal-pradesh,changlang district,1208
404,2018,Q1,arunachal-pradesh,pakke kessang district,39
405,2018,Q1,arunachal-pradesh,east siang district,1803
406,2018,Q1,arunachal-pradesh,upper subansiri district,572
407,2018,Q1,arunachal-pradesh,tawang district,1525
408,2018,Q1,arunachal-pradesh,namsai district,737
409,2018,Q2,arunachal-pradesh,lower subansiri district,724
410,2018,Q2,arunachal-pradesh,tirap district,856
411,2018,Q2,arunachal-pradesh,papum pare district,11418
412,2018,Q2,arunachal-pradesh,anjaw district,410
413,2018,Q2,arunachal-pradesh,lower siang district,494
414,2018,Q2,arunachal-pradesh,dibang valley district,112
415,2018,Q2,arunachal-pradesh,west kameng district,3442
416,2018,Q2,arunachal-pradesh,shi yomi district,80
417,2018,Q2,arunachal-pradesh,east kameng district,343
418,2018,Q2,arunachal-pradesh,lohit district,1898
419,2018,Q2,arunachal-pradesh,lepa rada district,318
420,2018,Q2,arunachal-pradesh,lower dibang valley district,893
421,2018,Q2,arunachal-pradesh,longding district,412
422,2018,Q2,arunachal-pradesh,west siang district,1224
423,2018,Q2,arunachal-pradesh,kamle district,37
424,2018,Q2,arunachal-pradesh,upper siang district,481
425,2018,Q2,arunachal-pradesh,kurung kumey district,153
426,2018,Q2,arunachal-pradesh,siang district,293
427,2018,Q2,arunachal-pradesh,kra daadi district,144
428,2018,Q2,arunachal-pradesh,changlang district,2014
429,2018,Q2,arunachal-pradesh,pakke kessang district,66
430,2018,Q2,arunachal-pradesh,east siang district,2646
431,2018,Q2,arunachal-pradesh,upper subansiri district,883
432,2018,Q2,arunachal-pradesh,tawang district,2266
433,2018,Q2,arunachal-pradesh,namsai district,1276
434,2018,Q3,arunachal-pradesh,lower subansiri district,1033
435,2018,Q3,arunachal-pradesh,tirap district,1226
436,2018,Q3,arunachal-pradesh,papum pare district,16009
437,2018,Q3,arunachal-pradesh,anjaw district,542
438,2018,Q3,arunachal-pradesh,lower siang district,717
439,2018,Q3,arunachal-pradesh,dibang valley district,145
440,2018,Q3,arunachal-pradesh,west kameng district,4765
441,2018,Q3,arunachal-pradesh,shi yomi district,118
442,2018,Q3,arunachal-pradesh,east kameng district,521
443,2018,Q3,arunachal-pradesh,lohit district,2612
444,2018,Q3,arunachal-pradesh,lepa rada district,431
445,2018,Q3,arunachal-pradesh,lower dibang valley district,1286
446,2018,Q3,arunachal-pradesh,longding district,644
447,2018,Q3,arunachal-pradesh,west siang district,1652
448,2018,Q3,arunachal-pradesh,kamle district,65
449,2018,Q3,arunachal-pradesh,upper siang district,646
450,2018,Q3,arunachal-pradesh,kurung kumey district,222
451,2018,Q3,arunachal-pradesh,siang district,373
452,2018,Q3,arunachal-pradesh,kra daadi district,190
453,2018,Q3,arunachal-pradesh,changlang district,2889
454,2018,Q3,arunachal-pradesh,pakke kessang district,103
455,2018,Q3,arunachal-pradesh,east siang district,3590
456,2018,Q3,arunachal-pradesh,upper subansiri district,1169
457,2018,Q3,arunachal-pradesh,tawang district,3112
458,2018,Q3,arunachal-pradesh,namsai district,1862
459,2018,Q4,arunachal-pradesh,lower subansiri district,1459
460,2018,Q4,arunachal-pradesh,tirap district,1684
461,2018,Q4,arunachal-pradesh,papum pare district,21342
462,2018,Q4,arunachal-pradesh,anjaw district,744
463,2018,Q4,arunachal-pradesh,lower siang district,936
464,2018,Q4,arunachal-pradesh,dibang valley district,178
465,2018,Q4,arunachal-pradesh,west kameng district,6492
466,2018,Q4,arunachal-pradesh,shi yomi district,144
467,2018,Q4,arunachal-pradesh,east kameng district,691
468,2018,Q4,arunachal-pradesh,lohit district,3588
469,2018,Q4,arunachal-pradesh,lepa rada district,548
470,2018,Q4,arunachal-pradesh,lower dibang valley district,1827
471,2018,Q4,arunachal-pradesh,longding district,923
472,2018,Q4,arunachal-pradesh,west siang district,2117
473,2018,Q4,arunachal-pradesh,kamle district,109
474,2018,Q4,arunachal-pradesh,upper siang district,868
475,2018,Q4,arunachal-pradesh,kurung kumey district,321
476,2018,Q4,arunachal-pradesh,siang district,483
477,2018,Q4,arunachal-pradesh,kra daadi district,255
478,2018,Q4,arunachal-pradesh,changlang district,4036
479,2018,Q4,arunachal-pradesh,pakke kessang district,138
480,2018,Q4,arunachal-pradesh,east siang district,4813
481,2018,Q4,arunachal-pradesh,upper subansiri district,1576
482,2018,Q4,arunachal-pradesh,tawang district,4085
483,2018,Q4,arunachal-pradesh,namsai district,2495
484,2019,Q1,arunachal-pradesh,lower subansiri district,1879
485,2019,Q1,arunachal-pradesh,tirap district,2082
486,2019,Q1,arunachal-pradesh,papum pare district,26298
